team,merge_team
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama State,Alabama State
Albany (NY),Albany (NY)
Alcorn State,Alcorn State
American,American
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Arkansas-Pine Bluff,Arkansas-Pine Bluff
Auburn,Auburn
Austin Peay,Austin Peay
Ball State,Ball State
Baylor,Baylor
Belmont,Belmont
Binghamton,Binghamton
Boise State,Boise State
Boston College,Boston College
Boston University,Boston University
Bradley,Bradley
Brigham Young,BYU
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Cal Poly,Cal Poly
Cal State Bakersfield,Cal State Bakersfield
Cal State Fullerton,Cal State Fullerton
Cal State Northridge,Cal State Northridge
California,California
Campbell,Campbell
Canisius,Canisius
Central Connecticut State,Central Connecticut
Central Florida,UCF
Central Michigan,Central Michigan
Charleston Southern,Charleston Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland State,Cleveland State
Coastal Carolina,Coastal Carolina
Colgate,Colgate
College of Charleston,College of Charleston
Colorado,Colorado
Colorado State,Colorado State
Connecticut,UConn
Coppin State,Coppin State
Cornell,Cornell
Creighton,Creighton
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware State,Delaware State
DePaul,DePaul
Detroit Mercy,Detroit
Drake,DePaul
Drexel,Drexel
Duke,Duke
East Carolina,East Carolina
East Tennessee State,ETSU
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Michigan,Eastern Michigan
Eastern Washington,Eastern Washington
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast
Florida International,Florida International
Florida State,Florida State
Fordham,Fordham
Fresno State,Fresno State
Gardner-Webb,Gardner-Webb
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Howard,Howard
Idaho,Idaho
Idaho State,Idaho State
Illinois,Illinois
Illinois State,Illinois State
Illinois-Chicago,UIC
Indiana,Indiana
Indiana State,Indiana State
Iona,IUPUI
Iowa,Iowa
Iowa State,Iowa State
IUPUI,IUPUI
Jackson State,Jackson State
Jacksonville,Jacksonville
Jacksonville State,Jacksonville State
James Madison,James Madison
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Little Rock,Little Rock
Long Beach State,Long Beach State
Long Island University,LIU
Longwood,Longwood
Louisiana,Louisiana
Louisiana State,LSU
Louisiana Tech,Louisiana Tech
Louisiana-Monroe,Louisiana-Monroe
Louisville,Louisville
Loyola (IL),Loyola (IL)
Loyola (MD),Loyola (MD)
Loyola Marymount,Loyola Marymount
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Maryland-Baltimore County,UMBC
Massachusetts,UMass
McNeese State,McNeese State
Memphis,Memphis
Mercer,Mercer
Miami (FL),Miami (FL)
Miami (OH),Miami (OH)
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi,Ole Miss
Mississippi State,Mississippi State
Mississippi Valley State,Mississippi Valley State
Missouri,Missouri
Missouri State,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana State,Montana State
Morehead State,Morehead State
Morgan State,Morgan State
Mount St. Mary's,Mount St. Mary's
Murray State,Murray State
Navy,Navy
NC State,NC State
Nebraska,Nebraska
Nevada,Nevada
Nevada-Las Vegas,UNLV
New Mexico,New Mexico
New Mexico State,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Nicholls State,Nicholls State
Norfolk State,Norfolk State
